ars_number,ars_description
13-101, Purposes
13-101.01, Additional purposes of the criminal law 
13-102, Applicability of title
13-103, Abolition of common law offenses and affirmative defenses; definition
13-104, Rule of construction
13-105, Definitions
13-106, Death of convicted defendant; dismissal of appellate and postconviction proceedings
13-107, Time limitations
13-108, Territorial applicability
13-109, Place of trial
13-110, Conviction for attempt although crime perpetrated
13-111, Former jeopardy or acquittal as bar to same or lesser offenses
13-113, Conviction or acquittal in one county as bar to prosecution in another
13-114, Speedy trial; counsel; witnesses and confrontation
13-115, Presumption of innocence and benefit of doubt; degrees of guilt
13-116, Double punishment
13-117, Defendant as witness; no comment on failure to testify
13-118, Sexual motivation special allegation; procedures; definition
13-120, Disposition of property taken from defendant; receipts
13-121, Jurisdiction of the court in proceedings subsequent to trial and sentencing
13-122, Action for recovery of public monies
13-123, Certificate of special public importance
13-201, Requirements for criminal liability
13-202, Construction of statutes with respect to culpability
13-203, Causal relationship between conduct and result; relationship to mental culpability
13-204, Effect of ignorance or mistake upon criminal liability
13-205, Affirmative defenses; justification; burden of proof
13-206, Entrapment
13-301, Definition of accomplice
13-302, Criminal liability based upon conduct
13-303, Criminal liability based upon conduct of another
13-304, Nondefenses to criminal liability based upon conduct of another
13-305, Criminal liability of enterprises; definitions
13-306, Criminal liability of an individual for conduct of an enterprise
13-401, Unavailability of justification defense; justification as defense
13-402, Justification; execution of public duty
13-403, Justification; use of physical force
13-404, Justification; self-defense
13-405, Justification; use of deadly physical force
13-406, Justification; defense of a third person
13-407, Justification; use of physical force in defense of premises
13-408, Justification; use of physical force in defense of property
13-409, Justification; use of physical force in law enforcement
13-410, Justification; use of deadly physical force in law enforcement
13-411, Justification; use of force in crime prevention; applicability
13-412, Duress
13-413, No civil liability for justified conduct
13-414, Justification; use of reasonable and necessary means
13-415, Justification; domestic violence
13-416, Justification; use of reasonable and necessary means; definition
13-417, Necessity defense
13-418, Justification; use of force in defense of residential structure or occupied vehicles; definitions
13-419, Presumptions; defense of a residential structure or occupied vehicle;  exceptions; definitions
13-420, Attorney fees; costs
13-421, Justification; defensive display of a firearm; definition
13-501, Persons under eighteen years of age; felony charging; definitions
13-502, Insanity test; burden of proof; guilty except insane verdict
13-503, Effect of alcohol or drug use
13-504, Persons under eighteen years of age; juvenile transfer
13-601, Classification of offenses
13-602, Designation of offenses
13-603, Authorized disposition of offenders
13-604, Class 6 felony; designation
13-605, Diagnostic commitment
13-606, Civil commitment after imposition of sentence
13-607, Judgment of guilt and sentence document; fingerprint; contents of document; recitations
13-608, Chronic felony offenders; disposition; notice
13-609, Transfer of criminal justice information; definition
13-610, DNA testing
13-701, Sentence of imprisonment for felony; presentence report; aggravating and mitigating factors; consecutive terms of imprisonment; definition
13-702, First time felony offenders; sentencing; definition 
13-703, Repetitive offenders; sentencing
13-704, Dangerous offenders; sentencing
13-705, Dangerous crimes against children; sentences; definitions
13-706," Serious, violent or aggravated offenders; sentencing; life imprisonment; definitions"
13-707, Misdemeanors; sentencing
13-708, Offenses committed while released from confinement
13-709, Offenses committed in school safety zone; sentences; definitions
13-710, Sentence for second degree murder
13-711, Multiple sentences of imprisonment; concurrent and consecutive determinations
13-712, Calculation of terms of imprisonment
13-713, Forfeiture of public retirement system benefits; definition
13-714," Offenses committed with intent to promote, further or assist a criminal street gang"
13-715, Special sentencing provisions; human smuggling organization
13-716, Juvenile offenders sentenced to life imprisonment; parole eligibility 
13-717, Sentence for misdemeanor convictions; community restitution; court-ordered education or treatment
13-718, Sentence of life imprisonment; parole eligibility; applicability
13-751, Sentence of death or life imprisonment; aggravating and mitigating circumstances; definition
13-752," Sentences of death, life imprisonment or natural life; imposition; sentencing proceedings; definitions"
13-753, Mental evaluations of capital defendants; hearing; appeal; definitions 
13-754, Capital defendant prescreening evaluation for competency and sanity
13-755, Death sentences; supreme court review
13-756, Death sentences; supreme court review
13-757, Method of infliction of sentence of death; identity of executioners; license suspension
13-758, Persons present at execution of sentence of death; limitation
13-759, Death warrant; return
13-801, Fines for felonies
13-802, Fines for misdemeanors
13-803, Fines against enterprises
13-804, Restitution for offense causing economic loss; fine for reimbursement of public monies; notification of arrearage; review hearing
13-804.01, Reimbursement of incarceration costs; misdemeanors
13-805, Jurisdiction
13-806, Restitution lien
13-807, Civil actions by victims or other persons
13-808, Time and method of payment of fines; conditions of probation; no limitation on restitution and other assessments
13-809, Priority of payments; application to traffic offenses; orders to reimburse public monies
13-810," Consequences of nonpayment of fines, surcharges, fees, assessments, restitution or incarceration costs "
13-811, Disposition of fines
13-812," Garnishment for nonpayment of fines, surcharges, fees, assessments, restitution or incarceration costs"
13-813, Issuance of writ of garnishment; service and return of writ
13-814, Restitution to pawnbrokers and dealers; definitions
13-815, Initial lien on earnings
13-816, Answer; time and form
13-817, Objection to garnishment; hearing; discharge of garnishee
13-818, Order on writ of garnishment for money or property
13-819, Order on writ of garnishment for earnings; continuing lien
13-820, Contempt proceedings; failure to comply with order
13-821, Fines for drug offenses
13-822, Effective programs to prevent and detect violations of law; fines
13-823, Dangerous and repeat enterprise offenders; fines
13-824, Community restitution in lieu of monetary obligation; definition
13-825, Mitigation of fines and surcharges
13-901, Probation
13-901.01, Probation for persons convicted of possession or use of controlled substances or drug paraphernalia; treatment; prevention; education; exceptions; definition
13-901.02, Drug treatment and education fund
13-901.03, Violent crimes; allegation; definition 
13-902, Periods of probation; monitoring; fees
13-903, Calculation of periods of probation
13-904, Suspension of civil rights and occupational disabilities
13-905, Setting aside judgment of convicted person on discharge; application; release from disabilities; firearm possession; exceptions
13-906, Restoration of civil rights; process
13-907, Automatic restoration of civil rights for first offenders; exception; definition
13-908, Restoration of civil rights; application; definition
13-909, Vacating the conviction of a sex trafficking victim; requirements
13-910, Restoration of right to possess a firearm
13-913, Definition of intensive probation
13-914, Intensive probation; evaluation; sentence; criteria; limit; conditions
13-915, Wilful failure to pay; revocation of probation
13-916, Intensive probation teams; adult probation officer qualifications; duties; case load limit
13-917, Modification of supervision
13-918, Employment; monitoring of wages
13-919, Waiver of standards
13-920, Budget requests
13-921, Probation for defendants under eighteen years of age; dual adult juvenile probation
13-923, Persons convicted of sexual offenses; annual probation review hearing; report; notification
13-924, Probation; earned time credit; applicability
13-925, Restoration of right to possess a firearm; mentally ill persons; petition
13-1001, Attempt; classifications
13-1002, Solicitation; classifications
13-1003, Conspiracy; classification
13-1004, Facilitation; classification
13-1005," Renunciation of attempt, solicitation, conspiracy or facilitation; defenses"
13-1006," Effect of immunity, irresponsibility or incapacity of a party to solicitation, conspiracy or facilitation"
13-1101, Definitions
13-1102, Negligent homicide; classification
13-1103, Manslaughter; classification
13-1104, Second degree murder; classification
13-1105, First degree murder; classification
13-1201, Endangerment; classification
13-1202, Threatening or intimidating; classification
13-1203, Assault; classification
13-1204, Aggravated assault; classification; definitions
13-1205," Unlawfully administering intoxicating liquors, narcotic drug or dangerous drug; classification"
13-1206, Dangerous or deadly assault by prisoner or juvenile; classification
13-1207, Prisoners who commit assault with intent to incite to riot or participate in riot; classification
13-1208, Assault; vicious animals; classification; exception; definition
13-1209, Drive by shooting; forfeiture; driver license revocation; classification; definitions
13-1210," Assaults on hospital employees, public safety employees or volunteers and state hospital employees; disease testing; petition; hearing; notice; definitions"
13-1211, Discharging a firearm at a structure; classification; definitions
13-1212, Prisoner assault with bodily fluids; liability for costs; classification; definition
13-1213, Aiming a laser pointer at a peace officer or an occupied aircraft; classification; definitions
13-1214, Unlawful mutilation; classification; definition
13-1301, Definitions
13-1302, Custodial interference; child born out of wedlock; defenses; classification
13-1303, Unlawful imprisonment; classification; definition
13-1304, Kidnapping; classification; consecutive sentence
13-1305, Access interference; classification; definition
13-1306, Unlawfully obtaining labor or services; classification
13-1307, Sex trafficking; classification; definitions
13-1308, Trafficking of persons for forced labor or services; classification; definitions
13-1309, Restitution
13-1310, Abduction of child from a state agency; classification; definition
13-1401, Definitions; factors
13-1402, Indecent exposure; exception; classification
13-1403, Public sexual indecency; public sexual indecency to a minor; classification
13-1404, Sexual abuse; classification
13-1405, Sexual conduct with a minor; classification
13-1406, Sexual assault; classification; increased punishment 
13-1407, Defenses
13-1408, Adultery; classification; punishment; limitation on prosecution
13-1409, Unlawful sexual conduct; adult probation department employees; juvenile court employees; classification; definitions
13-1410, Molestation of a child; classification
13-1411, Bestiality; classification; definition
13-1412, Unlawful sexual conduct; peace officers; classification; definitions
13-1413, Capacity of minor sexual assault victim to consent to medical examination
13-1414, Expenses of investigation
13-1415, Human immunodeficiency virus and sexually transmitted disease testing; victim's rights; petition; definitions
13-1416, Admissibility of minor's statement; notice
13-1417, Continuous sexual abuse of a child; classification
13-1418, Sexual misconduct; behavioral health professionals; classification 
13-1419, Unlawful sexual conduct; correctional facilities; classification; definition
13-1420, Sexual offense; evidence of similar crimes; definition
13-1421, Evidence relating to victim's chastity; pretrial hearing
13-1422, Adult oriented businesses; location; hours of operation; injunction; classification; definitions
13-1423, Violent sexual assault; natural life sentence
13-1424, Voyeurism; classification
13-1425, Unlawful disclosure of images depicting states of nudity or specific sexual activities; classification; definitions
13-1426, Sexual assault investigations; collected biological evidence testing; definitions
13-1427, Sexual assault kits; annual report; definitions
13-1428, Sexual extortion; classification; definition
13-1501, Definitions
13-1502, Criminal trespass in the third degree; classification
13-1503, Criminal trespass in the second degree; classification
13-1504, Criminal trespass in the first degree; classification
13-1505, Possession of burglary tools; master key; manipulation key; classification
13-1506, Burglary in the third degree; classification
13-1507, Burglary in the second degree; classification
13-1508, Burglary in the first degree; classification
13-1509, Willful failure to complete or carry an alien registration document; exception; authenticated records;
13-1601, Definitions
13-1602, Criminal damage; classification 
13-1603, Criminal littering or polluting; classification
13-1604, Aggravated criminal damage; classification
13-1605, Aggregation of amounts of damage
13-1701, Definitions
13-1702, Reckless burning; classification
13-1703, Arson of a structure or property; classification
13-1704, Arson of an occupied structure; classification
13-1705, Arson of an occupied jail or prison facility; classification.
13-1706, Burning of wildlands; exceptions; classification
13-1707, Unlawful cross burning; classification
13-1708, Unlawful symbol burning; classification
13-1709, Emergency response and investigation costs; civil liability; definitions
13-1801, Definitions
13-1802, Theft; classification; definitions
13-1802; Version 2, Theft; classification; definitions
13-1803, Unlawful use of means of transportation; classification
13-1804, Theft by extortion; classification
13-1805, Shoplifting; detaining suspect; defense to wrongful detention; civil action by merchant; public services; classification
13-1806, Unlawful failure to return rented or leased property; notice; classification
13-1807, Issuing a bad check; violation; classification
